session_id,frame_idx,timestamp,dist_raw,dist_norm,velocity,accel,hand_conf,label
replay1,237,8.2638,180.4369,0.738842,-0.007927,-0.018684,0.9946,0
replay1,238,8.298,177.6241,0.73473,-0.004111,0.003815,0.9949,0
replay1,239,8.3325,175.4264,0.72946,-0.00527,-0.001158,0.9946,0
replay1,240,8.3531,177.0906,0.732564,0.003104,0.008373,0.9953,1
replay1,241,8.3971,182.6958,0.757172,0.024608,0.021504,0.9938,1
replay1,242,8.432,177.6117,0.741677,-0.015495,-0.040102,0.9945,1
replay1,243,8.4637,178.4982,0.746159,0.004481,0.019976,0.9946,1
replay1,244,8.497,174.926,0.72878,-0.017378,-0.02186,0.9949,1
replay1,245,8.531,136.5065,0.560354,-0.168426,-0.151048,0.9978,1
replay1,246,8.5663,16.0567,0.059207,-0.501147,-0.332721,0.9962,1
replay1,247,8.5979,15.167,0.056219,-0.002988,0.498159,0.997,1
replay1,248,8.6302,15.8308,0.058294,0.002075,0.005063,0.9965,1
replay1,249,8.664,15.4791,0.055213,-0.003081,-0.005156,0.9959,1
replay1,250,8.6966,60.3052,0.214877,0.159664,0.162745,0.9961,1
replay1,251,8.7308,116.7276,0.430171,0.215294,0.05563,0.9958,1
replay1,252,8.7622,139.8264,0.524634,0.094463,-0.120831,0.9944,1
replay1,253,8.7987,153.7692,0.585965,0.061331,-0.033132,0.9947,1
replay1,254,8.8301,150.7395,0.579968,-0.005997,-0.067328,0.9952,1
replay1,255,8.8641,154.1645,0.591008,0.01104,0.017037,0.9946,1
replay1,256,8.8967,150.2363,0.583426,-0.007581,-0.018621,0.9934,1
replay1,257,8.9308,147.0117,0.574534,-0.008892,-0.001311,0.9933,1
replay1,258,8.9551,144.6056,0.563359,-0.011175,-0.002283,0.9936,0
replay1,259,8.9973,145.3636,0.573414,0.010055,0.02123,0.9929,0
replay1,260,9.0303,148.6878,0.577786,0.004371,-0.005684,0.9908,0
replay1,261,9.0638,149.4179,0.593005,0.015219,0.010848,0.9919,0
replay1,262,9.0991,155.0945,0.59713,0.004125,-0.011094,0.9924,0
replay1,263,9.1304,149.6363,0.58036,-0.016771,-0.020896,0.9915,0
replay1,264,9.1635,147.9378,0.574862,-0.005497,0.011273,0.9921,0
replay1,265,9.1972,147.6909,0.576627,0.001764,0.007262,0.9929,0
replay1,266,9.2297,152.012,0.603987,0.02736,0.025596,0.9944,0
replay1,267,9.2632,151.5999,0.596126,-0.007861,-0.035221,0.9931,0
